label	utterance
13.1.About_Anezka_WhoAreYou	what can I ask you
13.1.About_Anezka_WhoAreYou	what can you do
13.1.About_Anezka_WhoAreYou	are you a robot?
13.1.About_Anezka_WhoAreYou	who you are?
13.1.About_Anezka_WhoAreYou	who are you
13.1.About_Anezka_WhoAreYou	who am I talking to
13.1.About_Anezka_WhoAreYou	what can you help me with
13.1.About_Anezka_WhoAreYou	Hello are you a living person?
COVID_Description	What'is Corona Virus
COVID_Description	covid what is it
COVID_Description	What is covid
COVID_Description	what is covid-19
COVID_Description	What does covid stand for?
COVID_Description	Is covid a disease?
COVID_Description	where did covid come from?
COVID_Description	I heard about covid what is it?
COVID_Description	Where can I learn more about covid?
COVID_Description	Where can I find more information about covid 19?
COVID_Description	2019-nCoV
COVID_Description	origin of coronavirus
COVID_Description	does the virus spread thru surfaces
COVID_Description	how does the virus spread
COVID_Description	Where did the coronavirus come from?
COVID_Description	what is the coronavirus?
COVID_Description	what is novel coronavirus?
COVID_Description	What is COVID-19?
COVID_Description	How dangerous is this?
COVID_Description	Has the cause of COVID-19 been identified?
COVID_Description	How is COVID-19 spread?
COVID_Description	What is corona virus
COVID_Description	What is Corona virus?
COVID_Description	what is the Corona Virus
COVID_Description	what is the corona virus?
COVID_Description	where did corona virus start from?
COVID_Description	what is covid-19\
COVID_Description	what is covid19
COVID_Description	What is COVID?
general_Help	I'm afraid
general_Help	I need help
general_Help	Can you help me?
general_Help	I do not know what to do
general_Help	what should I do
general_Help	I'm afraid and don't know what to do
4.2.Treatment_info	How can I lower my temperature if I have the coronavirus?
4.2.Treatment_info	can medication reduce fever caused by a possible covid infection?
4.2.Treatment_info	Can medication be used to reduce fever?
4.2.Treatment_info	what medicines should I take if I have coronavirus
4.2.Treatment_info	what medicine work best for treatment ?
4.2.Treatment_info	What medicine should I take for COVID 19
4.2.Treatment_info	what medicine should I be taking for Covid 19
4.2.Treatment_info	What medicine should I avoid taking if I have coronavirus
4.2.Treatment_info	what kind of medicine should I take
4.2.Treatment_info	What is the treatment for this disease?
4.2.Treatment_info	Can I take ibuprofen if I have corona virus?
4.2.Treatment_info	What is the treatment for covid-19?
4.2.Treatment_info	Should I take Theraflu?
4.2.Treatment_info	Medication that helps with coronavirus
4.2.Treatment_info	Is there a medication to reduce temperature with covid-19?
4.2.Treatment_info	Is there a medication that can help me feel better?
4.2.Treatment_info	I heard about a medication for coronavirus treatment
4.2.Treatment_info	How to treat covid?
4.2.Treatment_info	best vitamin to take
4.2.Treatment_info	Can I lower my temperature using medication?
4.2.Treatment_info	what medicines work best
4.2.Treatment_info	How do we treat covid?
4.2.Treatment_info	How do I treat coronavirus?
5.1.Quarantine_what_to_do	If I have Covid how long do I have to self isoclate
5.1.Quarantine_what_to_do	How long do I have to stay in quarantine?
5.1.Quarantine_what_to_do	How long should I be in quarantine?
5.1.Quarantine_what_to_do	How long should I Quarrantine?
5.1.Quarantine_what_to_do	How long should you self-quarantine?
5.1.Quarantine_what_to_do	how long will we have to self quarantine?
5.1.Quarantine_what_to_do	"if i have syptoms, how long should i quartine for?"
5.1.Quarantine_what_to_do	"If infected, how long should individuals self-quarantine?"
5.1.Quarantine_what_to_do	Is anyone checking for compliance with those ordered to quarantine?
5.1.Quarantine_what_to_do	What can I do when I'm in quarantine?
5.1.Quarantine_what_to_do	What exactly is home quarantine?
5.1.Quarantine_what_to_do	What if I break quarantine?
5.1.Quarantine_what_to_do	What should I do if I have been quarantined?
5.1.Quarantine_what_to_do	What should I do in quarantine?
5.1.Quarantine_what_to_do	Who is responsible for quarantined people?
5.1.Quarantine_what_to_do	A colleague is breaking quarantine what should I do?
5.1.Quarantine_what_to_do	Are people in quarantine checked?
5.1.Quarantine_what_to_do	How does Quarantine work?
5.1.Quarantine_what_to_do	How long do I have to be stuck at home?
5.1.Quarantine_what_to_do	How long do I have to self isolate if I have tested positive?
5.1.Quarantine_what_to_do	How long does it take to quarantine?
Protecting_Against_Infection	what can i do to prevent COIVD?
Protecting_Against_Infection	What should I do to stay safe?
Protecting_Against_Infection	What is the risk of my child becoming sick with COVID-19?
Protecting_Against_Infection	Do I need to wear a face mask?
Protecting_Against_Infection	How do I protect myself?
Protecting_Against_Infection	What’s the best way to prevent coronavirus?
Protecting_Against_Infection	How often should I wash my hands?
Protecting_Against_Infection	How can I protect my family from the spread of coronavirus?
Protecting_Against_Infection	how to I prevent myself from getting sick?
Protecting_Against_Infection	how do I ensure my family is safe?
Protecting_Against_Infection	Is it even possible to avoid the virus?
