label   utterance
4.2.Treatment_info	Medication that helps with coronavirus
13.4.About_Anezka_hate	I hate this
Case_Count	Which countries has covid-19 been detected in?
Case_Count	Does MA have a confirmed COVID case?
4.2.Treatment_info	How do I treat coronavirus?
Symptoms	my child has a high fever and is coughing. what should I do?
5.1.Quarantine_what_to_do	How long do I have to self isolate if I have tested positive?
Symptoms	I think I might have the virus.
Symptoms	I have a burning feeling in my chest
COVID_Description	what is the Corona Virus
COVID_Description	What does covid stand for?
COVID_Description	what is covid19
COVID_Description	How is COVID-19 spread?
general_Help	I'm afraid and don't know what to do
Protecting_Against_Infection	Should I avoid people?
COVID_Description	Where did the coronavirus come from?
Protecting_Against_Infection	Does eating garlic help?
Protecting_Against_Infection	How often should I wash my hands?
Symptoms	what are symtoms?
13.3.About_Anezka_Greeting	good morning
4.2.Treatment_info	what kind of medicine should I take
Symptoms	My girlfriend has symptoms of covid-19
Protecting_Against_Infection	how to I prevent myself from getting sick?
Case_Count	How many cases of the virus are there in the world?
Symptoms	how do i know if im sick
5.1.Quarantine_what_to_do	What exactly is home quarantine?
general_Help	what should I do
Protecting_Against_Infection	how do i prevent catching the desease
Case_Count	Where can I find information about covid 19 for the world?
5.1.Quarantine_what_to_do	What should I do if I have been quarantined?
Case_Count	are people infected in my city ?
COVID_Description	How dangerous is this?
Symptoms	What are the symptoms of covid?
Case_Count	is anyone near me sick
Protecting_Against_Infection	what is the best way to prevent coronavirus
Symptoms	tell me about the symptoms
Case_Count	How many people are infected with Corona virus currently in texas?
13.1.About_Anezka_WhoAreYou	what can I ask you
13.1.About_Anezka_WhoAreYou	are you a robot?
5.1.Quarantine_what_to_do	What if I break quarantine?
4.2.Treatment_info	what medicines should I take if I have coronavirus
Protecting_Against_Infection	what should i do to contain the spread of the virus
Symptoms	What are the first symptoms for COVID?
Case_Count	How many people have covid-19 in the whole world?
Symptoms	I have sore throat
13.3.About_Anezka_Greeting	Hi
Protecting_Against_Infection	How to Prevent the Spread of the Virus
COVID_Description	What is COVID?
4.2.Treatment_info	best vitamin to take
Symptoms	Will my head hurt if I have covid 19?
Case_Count	how many people have the virus?
COVID_Description	what is covid-19
13.3.About_Anezka_Greeting	good evening
Symptoms	I have illness symptoms
COVID_Description	Has the cause of COVID-19 been identified?
Symptoms	temperature
13.1.About_Anezka_WhoAreYou	who are you
Protecting_Against_Infection	How can I avoid getting sick?
COVID_Description	what is the corona virus?
Case_Count	how many people ar sick in the US?
Symptoms	i have a sore throat
13.4.About_Anezka_hate	This is hateful
4.2.Treatment_info	Can I lower my temperature using medication?
13.4.About_Anezka_hate	I don't like this
Protecting_Against_Infection	How do I avoid covid-19?
Symptoms	I can not breath very well
Symptoms	How do I know if I'm sick with covid-19?
5.1.Quarantine_what_to_do	How long should you self-quarantine?
Symptoms	I have an irritating cough
4.2.Treatment_info	How do we treat covid?
4.2.Treatment_info	can medication reduce fever caused by a possible covid infection?
Case_Count	what is the count of coronavirus infected people?
Case_Count	How has coronavirus spread around the world?
general_Help	I do not know what to do
Protecting_Against_Infection	what can i do to stay safe
Case_Count	how many current cases are there in Illinois
COVID_Description	what is the coronavirus?
Symptoms	should i get tested
Symptoms	I think i'm infected
5.1.Quarantine_what_to_do	A colleague is breaking quarantine what should I do?
general_Help	Can you help me?
Symptoms	I feel congested and have a fever
4.2.Treatment_info	what medicine work best for treatment ?
Protecting_Against_Infection	How can I protect my family from the spread of coronavirus?
Symptoms	how to distinguish it from a common cold.
Case_Count	Are there any cases near me
4.2.Treatment_info	How can I lower my temperature if I have the coronavirus?
Case_Count	How many coronavirus cases are there in my area?
Symptoms	how do I know if i have this thing
13.1.About_Anezka_WhoAreYou	who you are?
Protecting_Against_Infection	Can I protect myself by drinking alcohol
4.2.Treatment_info	Can I take ibuprofen if I have corona virus?
13.4.About_Anezka_hate	I hate these kinds of things
Symptoms	rhinitis
Symptoms	what are the symptoms of coronavirus
Symptoms	I think I have covid 19
4.2.Treatment_info	what medicine should I be taking for Covid 19
Case_Count	how many ppl are infected in the us?
5.1.Quarantine_what_to_do	Who is responsible for quarantined people?
COVID_Description	what is covid-19\
Symptoms	what symptoms are typical with this disease
13.1.About_Anezka_WhoAreYou	Hello are you a living person?
Symptoms	what is the first symptom
Protecting_Against_Infection	What is the most effective prevention?
Protecting_Against_Infection	How do I protect myself?
5.1.Quarantine_what_to_do	How does Quarantine work?
Symptoms	Symptoms
Symptoms	I'm having respiratory problems
Protecting_Against_Infection	What is the risk of my child becoming sick with COVID-19?
COVID_Description	What'is Corona Virus
COVID_Description	Is covid a disease?
4.2.Treatment_info	I heard about a medication for coronavirus treatment
Symptoms	I traveled to Italy recently. What do I do?
13.4.About_Anezka_hate	I hate you
COVID_Description	Where can I find more information about covid 19?
Case_Count	covid number in my state?
5.1.Quarantine_what_to_do	if i have syptoms, how long should i quartine for?
Symptoms	my throat and head hurt
13.4.About_Anezka_hate	I hate
Symptoms	what are symptoms of coronvirus
Symptoms	my eyes are burning
4.2.Treatment_info	what medicines work best
4.2.Treatment_info	What is the treatment for covid-19?
Protecting_Against_Infection	What will help me prevent covid infection?
4.2.Treatment_info	What medicine should I avoid taking if I have coronavirus
Symptoms	What are the symptoms?
Symptoms	what are symptoms
Symptoms	what are my symptoms
Symptoms	what are the most common symptoms of COVID?
13.3.About_Anezka_Greeting	Hello
Symptoms	what are the COVID-19 symptoms?
Symptoms	my throat hurts and I have a headache as well
Case_Count	Where are cases?
4.2.Treatment_info	Is there a medication that can help me feel better?
4.2.Treatment_info	What medicine should I take for COVID 19
Protecting_Against_Infection	What should I do to stay safe?
COVID_Description	how does the virus spread
4.2.Treatment_info	Is there a medication to reduce temperature with covid-19?
Symptoms	what are the early symptoms of covid-19?
Case_Count	How many people in the world have died?
Symptoms	what are the symptoms
Symptoms	Will I throw up if I have the virus?
Symptoms	what are covid 19 symptoms
13.4.About_Anezka_hate	This is crap
general_Help	I'm afraid
Case_Count	How many people are sick throughout the world?
Symptoms	I have a temperature and cough. Do I have the coronavirus?
13.1.About_Anezka_WhoAreYou	what can you do
4.2.Treatment_info	What is the treatment for this disease?
Case_Count	how many cases are there in Texas?
13.4.About_Anezka_hate	I'm hanging up
Case_Count	how many patients are infected with cornona virus in collin county
Protecting_Against_Infection	What is the best prevention?
Protecting_Against_Infection	prevent the spread of the virus
Protecting_Against_Infection	What can I do to not get sick?
Protecting_Against_Infection	what can i do to prevent COIVD?
Symptoms	what are the common symptoms
5.1.Quarantine_what_to_do	Is anyone checking for compliance with those ordered to quarantine?
Symptoms	am i sick
Symptoms	Hi what are the symptoms?
Protecting_Against_Infection	how can I not get sick
13.3.About_Anezka_Greeting	What's up
COVID_Description	does the virus spread thru surfaces
Symptoms	Will I poop a lot if I have the virus?
5.1.Quarantine_what_to_do	how long will we have to self quarantine?
Protecting_Against_Infection	Does the sun kill coronavirus?
COVID_Description	where did covid come from?
Protecting_Against_Infection	What’s the best way to prevent coronavirus?
Symptoms	I have headache and sore throat ..what should I do ?
Protecting_Against_Infection	How to prevent covid infection?
Gratitude	Thank you!
Gratitude	Thanks!
Gratitude	Thanks for helping me!
Gratitude	Really appreciate your help
Gratitude	Thanks for the information
